wave,date,country_code,context,issue,pct
EB101.3,2024-04-01,AL,cntry,environment,2
EB102.2,2024-10-01,AL,cntry,environment,1
EB103.3,2025-03-01,AL,cntry,environment,1
EB104.1,2025-10-01,AL,cntry,environment,1
EB105.2,2026-03-01,AL,cntry,environment,3
EB101.3,2024-04-01,AT,cntry,environment,23
EB102.2,2024-10-01,AT,cntry,environment,16
EB103.3,2025-03-01,AT,cntry,environment,13
EB104.1,2025-10-01,AT,cntry,environment,10
EB105.2,2026-03-01,AT,cntry,environment,10
EB101.3,2024-04-01,BA,cntry,environment,3
EB102.2,2024-10-01,BA,cntry,environment,6
EB103.3,2025-03-01,BA,cntry,environment,6
EB104.1,2025-10-01,BA,cntry,environment,6
EB105.2,2026-03-01,BA,cntry,environment,5
EB101.3,2024-04-01,BE,cntry,environment,17
EB102.2,2024-10-01,BE,cntry,environment,15
EB103.3,2025-03-01,BE,cntry,environment,9
EB104.1,2025-10-01,BE,cntry,environment,8
EB105.2,2026-03-01,BE,cntry,environment,5
EB101.3,2024-04-01,BG,cntry,environment,5
EB102.2,2024-10-01,BG,cntry,environment,5
EB103.3,2025-03-01,BG,cntry,environment,7.000000000000001
EB104.1,2025-10-01,BG,cntry,environment,9
EB105.2,2026-03-01,BG,cntry,environment,3
EB101.3,2024-04-01,CY,cntry,environment,3
EB102.2,2024-10-01,CY,cntry,environment,4
EB103.3,2025-03-01,CY,cntry,environment,4
EB104.1,2025-10-01,CY,cntry,environment,4
EB105.2,2026-03-01,CY,cntry,environment,3
EB101.3,2024-04-01,CY(TCC),cntry,environment,3
EB102.2,2024-10-01,CY(TCC),cntry,environment,2
EB103.3,2025-03-01,CY_TCC,cntry,environment,6
EB104.1,2025-10-01,CY_TCC,cntry,environment,2
EB105.2,2026-03-01,CY_TCC,cntry,environment,4
EB101.3,2024-04-01,CZ,cntry,environment,8
EB102.2,2024-10-01,CZ,cntry,environment,6
EB103.3,2025-03-01,CZ,cntry,environment,3
EB104.1,2025-10-01,CZ,cntry,environment,5
EB105.2,2026-03-01,CZ,cntry,environment,4
EB101.3,2024-04-01,D-E,cntry,environment,11
EB102.2,2024-10-01,D-E,cntry,environment,8
EB101.3,2024-04-01,D-W,cntry,environment,20
EB102.2,2024-10-01,D-W,cntry,environment,15
EB101.3,2024-04-01,DE,cntry,environment,18
EB102.2,2024-10-01,DE,cntry,environment,13
EB103.3,2025-03-01,DE,cntry,environment,11
EB104.1,2025-10-01,DE,cntry,environment,9
EB105.2,2026-03-01,DE,cntry,environment,8
EB101.3,2024-04-01,DK,cntry,environment,47
EB102.2,2024-10-01,DK,cntry,environment,50
EB103.3,2025-03-01,DK,cntry,environment,22
EB104.1,2025-10-01,DK,cntry,environment,21
EB105.2,2026-03-01,DK,cntry,environment,27
EB101.3,2024-04-01,EE,cntry,environment,3
EB102.2,2024-10-01,EE,cntry,environment,3
EB103.3,2025-03-01,EE,cntry,environment,2
EB104.1,2025-10-01,EE,cntry,environment,3
EB105.2,2026-03-01,EE,cntry,environment,2
EB101.3,2024-04-01,EL,cntry,environment,6
EB102.2,2024-10-01,EL,cntry,environment,6
EB103.3,2025-03-01,EL,cntry,environment,4
EB104.1,2025-10-01,EL,cntry,environment,3
EB105.2,2026-03-01,EL,cntry,environment,3
EB101.3,2024-04-01,ES,cntry,environment,8
EB102.2,2024-10-01,ES,cntry,environment,5
EB103.3,2025-03-01,ES,cntry,environment,3
EB104.1,2025-10-01,ES,cntry,environment,3
EB105.2,2026-03-01,ES,cntry,environment,2
EB101.3,2024-04-01,EU,cntry,environment,14.000000000000002
EB102.2,2024-10-01,EU,cntry,environment,12
EB103.3,2025-03-01,EU,cntry,environment,9
EB104.1,2025-10-01,EU,cntry,environment,8
EB105.2,2026-03-01,EU,cntry,environment,7.000000000000001
EB101.3,2024-04-01,FI,cntry,environment,17
EB102.2,2024-10-01,FI,cntry,environment,19
